,Date,User,Tweet
0,2020-12-31 05:47:38+00:00,elonmusk,Ignore the heading
1,2020-12-31 05:40:26+00:00,elonmusk,"Great interview with Mathias Döpfner
https://t.co/ewnaHc4cH0"
2,2020-12-31 05:19:34+00:00,elonmusk,@jack 🎩 The Greatest Gatsby 🎩
3,2020-12-31 02:25:06+00:00,elonmusk,@flcnhvy Inspired by the ballet
4,2020-12-31 01:55:32+00:00,elonmusk,"@smvllstvrs @ErcXspace Rocket motion is primarily vertical, so you want the top open"
5,2020-12-31 01:05:35+00:00,elonmusk,@jack Let’s make the roaring 20’s again!
6,2020-12-30 19:49:23+00:00,elonmusk,@Erdayastronaut Might be a few lumps along the way
7,2020-12-30 18:31:31+00:00,elonmusk,"@Erdayastronaut @flcnhvy @ErcXspace Production is hard, prototypes are easy. Building ~1000 Starships to create a self-sustaining city on Mars is our mission."
8,2020-12-30 18:18:12+00:00,elonmusk,@ICannot_Enough @AloysiusFekete @RationalEtienne @biogirl09 @ErcXspace Exactly
9,2020-12-30 18:15:27+00:00,elonmusk,@RexChapman Haha
10,2020-12-30 18:09:24+00:00,elonmusk,@Erdayastronaut @flcnhvy @ErcXspace SN9 will press CH4 header tank with helium. Long-term solution is under debate. Not clear what is lightest/simplest.
11,2020-12-30 18:07:40+00:00,elonmusk,@flabellina212 @RationalEtienne @biogirl09 @ErcXspace Yes
12,2020-12-30 18:07:31+00:00,elonmusk,"@RationalEtienne @biogirl09 @ErcXspace Legs would certainly work, but best part is no part, best step is no step"
13,2020-12-30 18:00:33+00:00,elonmusk,@flcnhvy @ErcXspace Yes
14,2020-12-30 18:00:26+00:00,elonmusk,@flcnhvy @ErcXspace Saves mass &amp; cost of legs &amp; enables immediate repositioning of booster on to launch mount — ready to refly in under an hour
15,2020-12-30 17:01:28+00:00,elonmusk,"@ErcXspace We’re going to try to catch the Super Heavy Booster with the launch tower arm, using the grid fins to take the load"
16,2020-12-30 09:51:07+00:00,elonmusk,Snake-head dog had my undivided attention until winder-head ostrich came gliding through all nonchalant https://t.co/dtPMdM3TQp
17,2020-12-30 09:31:29+00:00,elonmusk,"@Tesmanian_com Seems odd that the opposition group is from BMW’s home state of Baveria. That‘s very far from Brandenburg, where Tesla is building the Gigafactory. 

And why would a group that claims to be pro-environment oppose a sustainable energy factory? Aren’t there more important issues?"
